frame_number grid_index player_position_x_meters player_position_y_meters
319 13984 12.4 5.8
319 14463 13 5.6
319 14946 13.6 6.2
319 14952 13.6 7.4
320 12049 10 2.8
320 12533 10.6 3.6
320 13496 11.8 4.2
320 13661 12 5.2
320 13984 12.4 5.8
320 14463 13 5.6
320 14946 13.6 6.2
320 14952 13.6 7.4
320 15115 13.8 8
323 11885 9.8 2
323 12210 10.2 3
323 12212 10.2 3.4
323 13496 11.8 4.2
323 13661 12 5.2
323 13984 12.4 5.8
323 14465 13 6
323 14952 13.6 7.4
325 11885 9.8 2
325 12210 10.2 3
325 12372 10.4 3.4
325 13496 11.8 4.2
325 13661 12 5.2
325 13984 12.4 5.8
325 14463 13 5.6
325 14467 13 6.4
325 14952 13.6 7.4
329 11728 9.6 2.6
329 11883 9.8 1.6
329 12048 10 2.6
329 12372 10.4 3.4
329 13984 12.4 5.8
329 14467 13 6.4
329 14952 13.6 7.4
330 11567 9.4 2.4
330 11883 9.8 1.6
330 12210 10.2 3
330 13496 11.8 4.2
330 13661 12 5.2
330 13984 12.4 5.8
330 14467 13 6.4
330 14952 13.6 7.4
331 11564 9.4 1.8
331 11728 9.6 2.6
331 12210 10.2 3
331 13496 11.8 4.2
331 13661 12 5.2
331 13984 12.4 5.8
331 14467 13 6.4
331 14952 13.6 7.4
334 11564 9.4 1.8
334 11728 9.6 2.6
334 12047 10 2.4
334 12049 10 2.8
334 12371 10.4 3.2
334 13496 11.8 4.2
334 13661 12 5.2
334 13984 12.4 5.8
334 14467 13 6.4
334 14952 13.6 7.4
336 11562 9.4 1.4
336 11728 9.6 2.6
336 12208 10.2 2.6
336 13496 11.8 4.2
336 13661 12 5.2
336 13984 12.4 5.8
336 14467 13 6.4
336 14952 13.6 7.4
337 11562 9.4 1.4
337 12047 10 2.4
337 12049 10 2.8
337 13496 11.8 4.2
337 13661 12 5.2
337 13984 12.4 5.8
337 14467 13 6.4
337 14952 13.6 7.4
339 11403 9.2 1.6
339 11567 9.4 2.4
339 11885 9.8 2
339 12047 10 2.4
339 12209 10.2 2.8
339 13984 12.4 5.8
339 14467 13 6.4
339 14952 13.6 7.4
340 11403 9.2 1.6
340 11885 9.8 2
340 11887 9.8 2.4
340 13496 11.8 4.2
340 13661 12 5.2
340 13984 12.4 5.8
340 14467 13 6.4
340 14630 13.2 7
342 11400 9.2 1
342 11564 9.4 1.8
342 12046 10 2.2
342 13496 11.8 4.2
342 13661 12 5.2
342 13984 12.4 5.8
342 14465 13 6
342 14630 13.2 7
342 15115 13.8 8
344 11400 9.2 1
344 11403 9.2 1.6
344 12046 10 2.2
344 13496 11.8 4.2
344 13661 12 5.2
344 13823 12.2 5.6
344 13986 12.4 6.2
344 14465 13 6
344 14630 13.2 7
344 15115 13.8 8
347 11564 9.4 1.8
347 12046 10 2.2
347 13496 11.8 4.2
347 13661 12 5.2
347 13984 12.4 5.8
347 14467 13 6.4
347 14630 13.2 7
348 11562 9.4 1.4
348 11564 9.4 1.8
348 12046 10 2.2
348 13496 11.8 4.2
348 13661 12 5.2
348 13984 12.4 5.8
348 14467 13 6.4
348 14630 13.2 7
349 11562 9.4 1.4
349 11564 9.4 1.8
349 11887 9.8 2.4
349 13496 11.8 4.2
349 13661 12 5.2
349 13984 12.4 5.8
349 14467 13 6.4
349 14630 13.2 7
351 11241 9 1.2
351 11885 9.8 2
351 13496 11.8 4.2
351 13661 12 5.2
351 13984 12.4 5.8
351 14465 13 6
351 14630 13.2 7
353 11241 9 1.2
353 11885 9.8 2
353 13496 11.8 4.2
353 13661 12 5.2
353 13984 12.4 5.8
353 14465 13 6
353 14630 13.2 7
354 11241 9 1.2
354 11885 9.8 2
354 13496 11.8 4.2
354 13661 12 5.2
354 13984 12.4 5.8
354 14465 13 6
354 14630 13.2 7
354 15115 13.8 8
356 11077 8.8 0.4
356 11562 9.4 1.4
356 13661 12 5.2
356 13984 12.4 5.8
356 14465 13 6
356 14952 13.6 7.4
357 11077 8.8 0.4
357 11562 9.4 1.4
357 13498 11.8 4.6
357 13984 12.4 5.8
357 14465 13 6
357 14630 13.2 7
361 11077 8.8 0.4
361 11241 9 1.2
361 11562 9.4 1.4
361 13498 11.8 4.6
361 13984 12.4 5.8
361 14465 13 6
361 14630 13.2 7
364 11080 8.8 1
364 11548 9.4 -1.4
364 11562 9.4 1.4
364 13498 11.8 4.6
364 13984 12.4 5.8
364 14465 13 6
364 14630 13.2 7
367 10918 8.6 0.6
367 11400 9.2 1
367 13659 12 4.8
367 13984 12.4 5.8
367 14465 13 6
367 14630 13.2 7
369 10759 8.4 0.8
369 10915 8.6 0
369 11400 9.2 1
369 13659 12 4.8
369 13984 12.4 5.8
369 14952 13.6 7.4
371 10754 8.4 -0.2
371 10758 8.4 0.6
371 11241 9 1.2
371 13659 12 4.8
371 13984 12.4 5.8
371 14465 13 6
371 14630 13.2 7
371 15115 13.8 8
372 10754 8.4 -0.2
372 10758 8.4 0.6
372 11241 9 1.2
372 13659 12 4.8
372 13984 12.4 5.8
372 14465 13 6
372 14630 13.2 7
372 15115 13.8 8
375 10756 8.4 0.2
375 10758 8.4 0.6
375 11241 9 1.2
375 13659 12 4.8
375 13984 12.4 5.8
376 10756 8.4 0.2
376 10758 8.4 0.6
376 11241 9 1.2
376 13661 12 5.2
376 14146 12.6 6.2
376 14790 13.4 7
379 10595 8.2 0
379 10597 8.2 0.4
379 11079 8.8 0.8
379 13821 12.2 5.2
379 14146 12.6 6.2
379 14952 13.6 7.4
382 10435 8 0
382 11079 8.8 0.8
382 13984 12.4 5.8
382 14790 13.4 7
382 15115 13.8 8
383 10274 7.8 -0.2
383 10756 8.4 0.2
383 14146 12.6 6.2
383 14952 13.6 7.4
384 10274 7.8 -0.2
384 10756 8.4 0.2
384 10759 8.4 0.8
384 14146 12.6 6.2
384 14952 13.6 7.4
387 9950 7.4 -1
387 10276 7.8 0.2
387 10759 8.4 0.8
388 9950 7.4 -1
388 10276 7.8 0.2
388 10759 8.4 0.8
389 1352 -3.4 7.4
389 9950 7.4 -1
389 10276 7.8 0.2
389 10759 8.4 0.8
390 9476 6.8 0.2
390 9950 7.4 -1
390 10274 7.8 -0.2
390 10597 8.2 0.4
391 10115 7.6 0
391 10268 7.8 -1.4
391 10597 8.2 0.4
392 10115 7.6 0
392 10268 7.8 -1.4
392 10597 8.2 0.4
394 9791 7.2 -0.8
394 10436 8 0.2
397 9630 7 -1
397 9955 7.4 0
397 10277 7.8 0.4
399 9315 6.6 0
399 9630 7 -1
399 9634 7 -0.2
399 10117 7.6 0.4
399 10274 7.8 -0.2
401 9315 6.6 0
401 9630 7 -1
401 9634 7 -0.2
401 10117 7.6 0.4
401 10274 7.8 -0.2
403 9315 6.6 0
403 9471 6.8 -0.8
403 9634 7 -0.2
403 9955 7.4 0
403 10117 7.6 0.4
404 8835 6 0
404 9633 7 -0.4
404 9956 7.4 0.2
406 8835 6 0
406 9470 6.8 -1
406 9635 7 0
406 10592 8.2 -0.6
407 8833 6 -0.4
407 9471 6.8 -0.8
407 9635 7 0
407 10592 8.2 -0.6
408 8674 5.8 -0.2
408 9471 6.8 -0.8
408 9636 7 0.2
410 8674 5.8 -0.2
410 9476 6.8 0.2
410 9633 7 -0.4
411 8674 5.8 -0.2
411 9312 6.6 -0.6
411 9468 6.8 -1.4
411 9476 6.8 0.2
411 9633 7 -0.4
412 9153 6.4 -0.4
412 9468 6.8 -1.4
412 9476 6.8 0.2
414 8353 5.4 -0.4
414 9153 6.4 -0.4
414 9476 6.8 0.2
416 8992 6.2 -0.6
416 9315 6.6 0
419 8194 5.2 -0.2
419 8830 6 -1
419 9154 6.4 -0.2
422 8033 5 -0.4
422 8827 6 -1.6
422 8833 6 -0.4
422 9471 6.8 -0.8
424 8033 5 -0.4
424 8674 5.8 -0.2
424 9471 6.8 -0.8
425 7874 4.8 -0.2
425 8833 6 -0.4
425 9471 6.8 -0.8
427 7872 4.8 -0.6
427 8832 6 -0.6
429 7712 4.6 -0.6
429 8356 5.4 0.2
429 8513 5.6 -0.4
429 8991 6.2 -0.8
431 7553 4.4 -0.4
431 8357 5.4 0.4
431 8502 5.6 -2.6
431 9150 6.4 -1
432 7553 4.4 -0.4
432 8356 5.4 0.2
432 8502 5.6 -2.6
432 9150 6.4 -1
433 7553 4.4 -0.4
433 8356 5.4 0.2
433 9150 6.4 -1
435 7392 4.2 -0.6
435 8193 5.2 -0.4
435 8830 6 -1
436 7233 4 -0.4
436 8033 5 -0.4
436 8830 6 -1
439 7231 4 -0.8
439 7714 4.6 -0.2
439 8038 5 0.6
439 8830 6 -1
440 7231 4 -0.8
440 7713 4.6 -0.4
440 8036 5 0.2
440 8191 5.2 -0.8
442 7072 3.8 -0.6
442 8036 5 0.2
442 8191 5.2 -0.8
443 7072 3.8 -0.6
443 7554 4.4 -0.2
443 8191 5.2 -0.8
445 6913 3.6 -0.4
445 7381 4.2 -2.8
445 8509 5.6 -1.2
446 6913 3.6 -0.4
446 7381 4.2 -2.8
446 7556 4.4 0.2
